pod,queue_sec,jct_sec
ph-application-1508364558011-38922-pbl6t,456.0,467.0
ph-application-1508364558011-38930-6d2hr,454.0,466.0
ph-application-1508364558011-38932-jx42s,452.0,463.0
ph-application-1508364558011-38956-4w5vz,450.0,462.0
ph-application-1508364558011-38966-wvrwl,458.0,469.0
ph-application-1508364558011-39104-jwr6r,456.0,487.0
ph-application-1508364558011-39179-lc58t,454.0,460.0
ph-application-1508364558011-39252-krlfq,460.0,487.0
ph-application-1508364558011-39402-k7g64,458.0,490.0
ph-application-1508364558011-39404-8swzd,456.0,483.0
ph-application-1508364558011-39417-nbr6h,454.0,481.0
ph-application-1508364558011-39427-ttmnc,457.0,473.0
ph-application-1508364558011-39456-g2pph,457.0,489.0
ph-application-1508364558011-39649-x4f5z,473.0,495.0
ph-application-1508364558011-39717-f9cgg,473.0,510.0
ph-application-1508364558011-39743-4c4wd,477.0,504.0
ph-application-1508364558011-39799-xjxcz,475.0,487.0
ph-application-1508364558011-39870-mtghh,473.0,485.0
ph-application-1508364558011-39877-269p5,476.0,487.0
ph-application-1508364558011-39887-dv2bz,479.0,485.0
ph-application-1508364558011-39893-spb67,479.0,485.0
ph-application-1508364558011-39913-z52vb,488.0,501.0
ph-application-1508364558011-39926-7jrk2,486.0,499.0
ph-application-1508364558011-40050-n8nf4,485.0,507.0
ph-application-1508364558011-40063-45vkq,483.0,490.0
ph-application-1508364558011-40066-956zh,481.0,498.0
ph-application-1508364558011-40067-pzf2m,479.0,496.0
ph-application-1508364558011-40075-96qz2,485.0,507.0
ph-application-1508364558011-40087-wl4jk,488.0,519.0
ph-application-1508364558011-40089-bmk4l,486.0,497.0
ph-application-1508364558011-40138-nvvxq,487.0,508.0
ph-application-1508364558011-40184-mlwwx,485.0,496.0
ph-application-1508364558011-40205-wpgxs,517.0,518.0
ph-application-1508364558011-40239-szdrb,486.0,572.0
ph-application-1508364558011-40270-sdm5q,484.0,490.0
ph-application-1508364558011-40300-fx9hw,490.0,536.0
ph-application-1508364558011-40394-tfslv,488.0,529.0
ph-application-1508364558011-40603-d2qlx,489.0,495.0
ph-application-1508364558011-40647-zc82h,487.0,493.0
ph-application-1508364558011-40649-49fdn,489.0,495.0
ph-application-1508364558011-40660-stjdr,501.0,522.0
ph-application-1508364558011-40680-sb9bb,507.0,514.0
ph-application-1508364558011-40693-kkrv6,505.0,527.0
ph-application-1508364558011-40811-q9dz5,503.0,735.0
ph-application-1508364558011-40920-k8b8p,501.0,508.0
ph-application-1508364558011-41037-9hn42,512.0,523.0
ph-application-1508364558011-41144-28hl2,510.0,511.0
ph-application-1508364558011-41252-qfs5n,515.0,516.0
ph-application-1508364558011-41265-mfg2m,513.0,515.0
ph-application-1508364558011-41356-9bsw9,511.0,513.0
ph-application-1508364558011-41376-m4262,519.0,522.0
ph-application-1508364558011-41420-wg8nl,517.0,525.0
ph-application-1508364558011-41453-f4hkq,515.0,523.0
ph-application-1508364558011-41484-nfrhm,530.0,532.0
ph-application-1508364558011-41495-bw8qp,1785.0,1796.0
ph-application-1508364558011-41602-m4ddj,509.0,517.0
ph-application-1508364558011-41686-mzk6d,508.0,635.0
ph-application-1508364558011-41729-6gxt4,506.0,513.0
ph-application-1508364558011-41734-nhbhc,513.0,514.0
ph-application-1508364558011-41757-6nbqc,518.0,525.0
ph-application-1508364558011-41824-4lxrv,523.0,530.0
ph-application-1508364558011-41901-w2664,522.0,528.0
ph-application-1508364558011-42065-8mvzl,520.0,546.0
ph-application-1508364558011-42071-tg45f,517.0,524.0
ph-application-1508364558011-42302-2dtlp,516.0,522.0
ph-application-1508364558011-42304-brh55,519.0,625.0
ph-application-1508364558011-42306-fqjqk,525.0,541.0
ph-application-1508364558011-42324-pmcjm,523.0,540.0
ph-application-1508364558011-42342-fdrsc,521.0,542.0
ph-application-1508364558011-42361-kvvrs,519.0,551.0
ph-application-1508364558011-42418-lv929,540.0,546.0
ph-application-1508364558011-42421-c7lwv,538.0,544.0
ph-application-1508364558011-42469-h24fn,554.0,555.0
ph-application-1508364558011-42556-jc2kz,539.0,545.0
ph-application-1508364558011-42649-8vvgj,558.0,559.0
ph-application-1508364558011-42768-z89rf,548.0,604.0
ph-application-1508364558011-42788-tt9pw,560.0,617.0
ph-application-1508364558011-42811-vhwbd,558.0,565.0
ph-application-1508364558011-42878-6874v,557.0,568.0
ph-application-1508364558011-42892-5dcxc,555.0,561.0
ph-application-1508364558011-42908-vcg88,1747.0,1753.0
ph-application-1508364558011-42986-lzssc,564.0,570.0
ph-application-1508364558011-43094-qlntp,1751.0,1882.0
ph-application-1508364558011-43127-28ztg,559.0,565.0
ph-application-1508364558011-43260-d6kk8,562.0,788.0
ph-application-1508364558011-43265-v9dr6,568.0,729.0
ph-application-1508364558011-43339-mw74m,566.0,567.0
ph-application-1508364558011-43346-9p5cj,572.0,578.0
ph-application-1508364558011-43353-2nmft,575.0,581.0
ph-application-1508364558011-43407-gp5g2,586.0,593.0
ph-application-1508364558011-43537-frmpc,584.0,651.0
ph-application-1508364558011-43538-2h2qm,582.0,594.0
ph-application-1508364558011-43572-htpkg,580.0,587.0
ph-application-1508364558011-43573-r24qt,591.0,613.0
ph-application-1508364558011-43577-wkfns,589.0,606.0
ph-application-1508364558011-43599-42rl7,587.0,604.0
ph-application-1508364558011-43612-tzjkl,590.0,616.0
ph-application-1508364558011-43625-n78b9,606.0,618.0
ph-application-1508364558011-43628-hfwlr,604.0,631.0
ph-application-1508364558011-43645-dd7sb,607.0,618.0
ph-application-1508364558011-43649-8dc8b,614.0,640.0
ph-application-1508364558011-43685-lk86r,614.0,621.0
ph-application-1508364558011-43697-dhhzx,618.0,629.0
ph-application-1508364558011-43767-ltm9w,619.0,630.0
ph-application-1508364558011-43933-m4xr5,620.0,656.0
ph-application-1508364558011-43949-x7jz4,622.0,653.0
