pod,queue_sec,jct_sec
ph-application-1508364558011-35068-qt9tz,335.0,402.0
ph-application-1508364558011-35097-88jl9,338.0,399.0
ph-application-1508364558011-35146-f4k4t,341.0,343.0
ph-application-1508364558011-35153-gqx2m,345.0,396.0
ph-application-1508364558011-35196-jdpjb,343.0,439.0
ph-application-1508364558011-35297-tmp4s,341.0,342.0
ph-application-1508364558011-35351-cnqgg,344.0,345.0
ph-application-1508364558011-35419-qwfzh,347.0,348.0
ph-application-1508364558011-35456-ps5vx,345.0,346.0
ph-application-1508364558011-35538-xf6hv,348.0,350.0
ph-application-1508364558011-35583-tt777,346.0,348.0
ph-application-1508364558011-35641-9kl5f,350.0,351.0
ph-application-1508364558011-35650-v4bx5,348.0,349.0
ph-application-1508364558011-35654-g6dfj,351.0,352.0
ph-application-1508364558011-35731-7m6cq,349.0,350.0
ph-application-1508364558011-35782-kqdlb,352.0,353.0
ph-application-1508364558011-35829-sstjn,350.0,351.0
ph-application-1508364558011-35919-c72f7,353.0,445.0
ph-application-1508364558011-35941-5qf5s,351.0,448.0
ph-application-1508364558011-36010-mt5vj,365.0,371.0
ph-application-1508364558011-36015-cxjzt,363.0,369.0
ph-application-1508364558011-36024-tdv98,366.0,372.0
ph-application-1508364558011-36030-482qk,364.0,370.0
ph-application-1508364558011-36037-vfg6l,367.0,373.0
ph-application-1508364558011-36120-c9m9j,365.0,371.0
ph-application-1508364558011-36165-zljjb,368.0,370.0
ph-application-1508364558011-36171-52x22,367.0,368.0
ph-application-1508364558011-36198-mhld2,365.0,366.0
ph-application-1508364558011-36207-5sfjk,368.0,369.0
ph-application-1508364558011-36249-7r4r7,366.0,433.0
ph-application-1508364558011-36299-22mf2,364.0,371.0
ph-application-1508364558011-36324-qqsqh,362.0,369.0
ph-application-1508364558011-36330-qj47k,1921.0,1942.0
ph-application-1508364558011-36343-529th,1946.0,1967.0
ph-application-1508364558011-36387-96nt2,439.0,446.0
ph-application-1508364558011-36394-s6m9b,1968.0,1989.0
ph-application-1508364558011-36430-hnqb9,352.0,379.0
ph-application-1508364558011-36434-qrk7s,355.0,366.0
ph-application-1508364558011-36482-wtg5g,358.0,410.0
ph-application-1508364558011-36527-z9hqh,356.0,362.0
ph-application-1508364558011-36645-swr7w,1985.0,1991.0
ph-application-1508364558011-36741-frv6x,363.0,369.0
ph-application-1508364558011-36798-mt9ph,371.0,377.0
ph-application-1508364558011-36822-46vhx,359.0,365.0
ph-application-1508364558011-36870-mvhrm,362.0,398.0
ph-application-1508364558011-36886-6fgnm,365.0,371.0
ph-application-1508364558011-36888-2ckr4,1983.0,1990.0
ph-application-1508364558011-36895-k6s2f,423.0,424.0
ph-application-1508364558011-36914-w9trq,426.0,427.0
ph-application-1508364558011-36927-ttb2n,366.0,373.0
ph-application-1508364558011-37016-8rz8x,365.0,601.0
ph-application-1508364558011-37065-6wc7s,425.0,437.0
ph-application-1508364558011-37086-62pmm,361.0,367.0
ph-application-1508364558011-37159-xxfsr,437.0,453.0
ph-application-1508364558011-37200-zrwj6,367.0,368.0
ph-application-1508364558011-37211-bln8l,365.0,396.0
ph-application-1508364558011-37230-bqwp9,368.0,394.0
ph-application-1508364558011-37291-rxsjk,366.0,388.0
ph-application-1508364558011-37302-qx6wm,369.0,381.0
ph-application-1508364558011-37345-n8s49,373.0,384.0
ph-application-1508364558011-37411-dp8p5,371.0,382.0
ph-application-1508364558011-37418-l2hwk,374.0,380.0
ph-application-1508364558011-37432-hkcbw,377.0,398.0
ph-application-1508364558011-37433-cpgdm,386.0,407.0
ph-application-1508364558011-37453-ks7ln,384.0,395.0
ph-application-1508364558011-37464-qx5zb,397.0,414.0
ph-application-1508364558011-37467-spbml,396.0,417.0
ph-application-1508364558011-37474-qggpc,404.0,430.0
ph-application-1508364558011-37543-qn245,412.0,433.0
ph-application-1508364558011-37544-tvn99,416.0,427.0
ph-application-1508364558011-37583-ngwwc,424.0,436.0
ph-application-1508364558011-37589-6w458,422.0,434.0
ph-application-1508364558011-37590-5llsr,420.0,447.0
ph-application-1508364558011-37602-l5pwd,418.0,450.0
ph-application-1508364558011-37610-nm9zh,421.0,442.0
ph-application-1508364558011-37628-nt5gx,419.0,431.0
ph-application-1508364558011-37682-xh5cz,423.0,444.0
ph-application-1508364558011-37708-8g78r,426.0,447.0
ph-application-1508364558011-37783-sbrvj,1929.0,2166.0
ph-application-1508364558011-37844-5qq69,422.0,428.0
ph-application-1508364558011-37896-x7zzm,2165.0,2181.0
ph-application-1508364558011-38015-5srl8,423.0,429.0
ph-application-1508364558011-38058-w52rk,432.0,453.0
ph-application-1508364558011-38114-dnsjt,424.0,425.0
ph-application-1508364558011-38122-wz6qz,433.0,434.0
ph-application-1508364558011-38154-k2mz2,431.0,432.0
ph-application-1508364558011-38194-vvnc7,434.0,436.0
ph-application-1508364558011-38217-jzmh9,432.0,434.0
ph-application-1508364558011-38218-lkqzw,430.0,432.0
ph-application-1508364558011-38229-zjhlw,433.0,435.0
ph-application-1508364558011-38308-nr7h2,432.0,433.0
ph-application-1508364558011-38336-hft77,430.0,431.0
ph-application-1508364558011-38375-cm5ql,433.0,434.0
ph-application-1508364558011-38489-67tz7,431.0,437.0
ph-application-1508364558011-38532-lpkcq,429.0,430.0
ph-application-1508364558011-38549-dhkr5,432.0,434.0
ph-application-1508364558011-38562-sjkw2,430.0,432.0
ph-application-1508364558011-38635-qxpr8,428.0,430.0
ph-application-1508364558011-38657-wx2ch,426.0,428.0
ph-application-1508364558011-38685-xhclh,424.0,427.0
ph-application-1508364558011-38725-wjf4j,423.0,425.0
ph-application-1508364558011-38760-xgcl7,425.0,428.0
ph-application-1508364558011-38844-vm2j2,423.0,436.0
ph-application-1508364558011-38862-frhpb,421.0,434.0
ph-application-1508364558011-38916-9nq2x,420.0,432.0
ph-application-1508364558011-38922-2szlb,418.0,430.0
ph-application-1508364558011-38930-j6fq4,416.0,428.0
ph-application-1508364558011-38932-788v6,414.0,426.0
ph-application-1508364558011-38956-s5pnr,417.0,428.0
ph-application-1508364558011-38966-6czqw,425.0,437.0
ph-application-1508364558011-39104-vcrf5,423.0,455.0
ph-application-1508364558011-39179-j62lm,421.0,428.0
ph-application-1508364558011-39252-72sdj,419.0,446.0
ph-application-1508364558011-39402-2gzfl,418.0,449.0
ph-application-1508364558011-39404-gmp2d,416.0,443.0
ph-application-1508364558011-39417-6x7xr,418.0,445.0
ph-application-1508364558011-39427-sk77q,422.0,438.0
ph-application-1508364558011-39456-dlgrw,425.0,456.0
ph-application-1508364558011-39649-spkpl,439.0,460.0
ph-application-1508364558011-39717-wvs7g,437.0,473.0
ph-application-1508364558011-39743-zdc8j,435.0,461.0
ph-application-1508364558011-39799-t98r8,438.0,449.0
ph-application-1508364558011-39870-xg9sf,436.0,448.0
ph-application-1508364558011-39877-4gzmc,434.0,446.0
ph-application-1508364558011-39887-sb65x,448.0,454.0
ph-application-1508364558011-39893-k98ng,446.0,453.0
ph-application-1508364558011-39913-x7shp,444.0,456.0
ph-application-1508364558011-39926-2jwkj,442.0,454.0
ph-application-1508364558011-40050-rb9mb,445.0,466.0
ph-application-1508364558011-40063-q6f6t,448.0,455.0
ph-application-1508364558011-40066-wsldj,447.0,463.0
ph-application-1508364558011-40067-4hlz6,445.0,461.0
ph-application-1508364558011-40075-br92p,443.0,464.0
ph-application-1508364558011-40087-w79jc,446.0,477.0
ph-application-1508364558011-40089-zsqb4,444.0,455.0
ph-application-1508364558011-40138-9kwtv,447.0,468.0
ph-application-1508364558011-40184-scngc,445.0,456.0
ph-application-1508364558011-40205-x66pt,454.0,455.0
ph-application-1508364558011-40239-cskwn,457.0,544.0
ph-application-1508364558011-40270-qxs22,455.0,462.0
ph-application-1508364558011-40300-ft77n,453.0,500.0
ph-application-1508364558011-40394-krgmb,451.0,493.0
ph-application-1508364558011-40603-4svj7,449.0,456.0
ph-application-1508364558011-40647-4pwl8,447.0,454.0
ph-application-1508364558011-40649-pvfxw,456.0,462.0
ph-application-1508364558011-40660-8nf5b,454.0,475.0
ph-application-1508364558011-40680-7lj5z,452.0,458.0
ph-application-1508364558011-40693-vrw9k,450.0,471.0
ph-application-1508364558011-40811-9wzkq,453.0,684.0
ph-application-1508364558011-40920-rjpgf,456.0,462.0
ph-application-1508364558011-41037-vxgpj,454.0,465.0
ph-application-1508364558011-41144-8cx7p,463.0,464.0
ph-application-1508364558011-41252-hsqng,466.0,467.0
ph-application-1508364558011-41265-h6hdr,464.0,466.0
ph-application-1508364558011-41356-gv6km,462.0,464.0
ph-application-1508364558011-41376-92nr7,460.0,462.0
ph-application-1508364558011-41420-t5qsq,463.0,470.0
ph-application-1508364558011-41453-8j9fq,461.0,468.0
ph-application-1508364558011-41484-rznwt,470.0,471.0
ph-application-1508364558011-41495-6gx2n,2028.0,2040.0
ph-application-1508364558011-41602-x7pjp,456.0,462.0
ph-application-1508364558011-41686-gjq4q,454.0,580.0
ph-application-1508364558011-41729-zlcqw,457.0,463.0
ph-application-1508364558011-41734-97wtw,465.0,467.0
ph-application-1508364558011-41757-tgkct,463.0,470.0
ph-application-1508364558011-41824-k6k8j,461.0,468.0
ph-application-1508364558011-41901-xpn2s,460.0,467.0
ph-application-1508364558011-42065-v8qr2,458.0,485.0
ph-application-1508364558011-42071-j9qwz,461.0,467.0
ph-application-1508364558011-42302-nz5wt,464.0,470.0
ph-application-1508364558011-42304-tcnqr,462.0,568.0
ph-application-1508364558011-42306-vfpcx,460.0,476.0
ph-application-1508364558011-42324-mhcsn,463.0,479.0
ph-application-1508364558011-42342-wnsmb,466.0,488.0
ph-application-1508364558011-42361-t4zb4,475.0,506.0
ph-application-1508364558011-42418-wr9lj,473.0,479.0
ph-application-1508364558011-42421-kfpnl,476.0,482.0
ph-application-1508364558011-42469-w4pxx,713.0,714.0
ph-application-1508364558011-42556-7hsj2,478.0,484.0
ph-application-1508364558011-42649-gd298,714.0,716.0
ph-application-1508364558011-42768-996fc,474.0,530.0
ph-application-1508364558011-42788-7fmr5,476.0,532.0
ph-application-1508364558011-42811-vnkpj,474.0,480.0
ph-application-1508364558011-42878-2wdqc,477.0,488.0
ph-application-1508364558011-42892-c2p98,481.0,487.0
ph-application-1508364558011-42908-smtmq,1991.0,1998.0
ph-application-1508364558011-42986-5vvbr,487.0,493.0
ph-application-1508364558011-43094-tcfqs,1998.0,2129.0
ph-application-1508364558011-43127-jvf92,483.0,490.0
ph-application-1508364558011-43260-gvv6b,481.0,708.0
ph-application-1508364558011-43265-vbvjt,490.0,651.0
ph-application-1508364558011-43339-24rrj,488.0,489.0
ph-application-1508364558011-43346-7pm5g,491.0,497.0
ph-application-1508364558011-43353-wlfqk,500.0,506.0
ph-application-1508364558011-43407-mtq6x,503.0,509.0
ph-application-1508364558011-43537-d5sfn,506.0,572.0
ph-application-1508364558011-43538-bpqh4,504.0,515.0
ph-application-1508364558011-43572-s67lh,507.0,514.0
ph-application-1508364558011-43573-n9dmg,511.0,532.0
ph-application-1508364558011-43577-lrfh4,514.0,530.0
ph-application-1508364558011-43599-pd29g,512.0,529.0
ph-application-1508364558011-43612-jsggr,510.0,537.0
ph-application-1508364558011-43625-58c6w,529.0,541.0
ph-application-1508364558011-43628-vntbz,527.0,554.0
ph-application-1508364558011-43645-znlvn,526.0,537.0
ph-application-1508364558011-43649-fkvrj,534.0,560.0
ph-application-1508364558011-43685-ktwz6,537.0,543.0
ph-application-1508364558011-43697-4z6sw,535.0,547.0
ph-application-1508364558011-43767-czf86,544.0,555.0
ph-application-1508364558011-43933-6cg74,547.0,584.0
ph-application-1508364558011-43949-jkdt2,545.0,577.0
ph-application-1508364558011-43965-kltxj,543.0,565.0
ph-application-1508364558011-43967-7skcb,552.0,618.0
ph-application-1508364558011-43983-5pzc5,550.0,576.0
ph-application-1508364558011-43986-wsqvg,558.0,575.0
ph-application-1508364558011-43992-rf7zs,562.0,593.0
ph-application-1508364558011-44042-jwjl9,570.0,576.0
ph-application-1508364558011-44077-rsmnx,574.0,580.0
ph-application-1508364558011-44091-47vg9,572.0,588.0
ph-application-1508364558011-44097-kdnxp,570.0,591.0
ph-application-1508364558011-44166-bqpch,573.0,594.0
ph-application-1508364558011-44208-v4hvj,576.0,607.0
ph-application-1508364558011-44223-ll6q5,585.0,591.0
ph-application-1508364558011-44225-7wb8s,583.0,584.0
ph-application-1508364558011-44247-cnqvx,586.0,593.0
ph-application-1508364558011-44259-rv8cm,584.0,596.0
ph-application-1508364558011-44278-wpt27,582.0,594.0
ph-application-1508364558011-44322-hglgb,586.0,597.0
ph-application-1508364558011-44323-c9wxp,584.0,595.0
ph-application-1508364558011-44367-l4khw,587.0,598.0
ph-application-1508364558011-44385-kbrs4,585.0,601.0
ph-application-1508364558011-44399-c99pz,588.0,599.0
ph-application-1508364558011-44473-6wjql,586.0,598.0
