pod,queue_sec,jct_sec
ph-application-1506638472019-32508-lwzzr,20.0,32.0
ph-application-1506638472019-32550-m5fgs,20.0,32.0
ph-application-1506638472019-32572-vfsdx,20.0,32.0
ph-application-1506638472019-32772-mdjjv,716.0,728.0
ph-application-1506638472019-32833-xfrwt,1950.0,1961.0
ph-application-1506638472019-33046-vh54s,7.0,19.0
ph-application-1506638472019-33150-fb9vf,9.0,20.0
ph-application-1506638472019-3329-vw7n5,17.0,30.0
ph-application-1506638472019-33435-vzpkf,12.0,23.0
ph-application-1506638472019-33537-dz6m4,11.0,22.0
ph-application-1506638472019-33570-m6zzl,11.0,22.0
ph-application-1506638472019-33722-xqbzk,16.0,27.0
ph-application-1506638472019-3379-l66lm,20.0,32.0
ph-application-1506638472019-33837-lcljl,15.0,26.0
ph-application-1506638472019-33851-z9wzp,15.0,26.0
ph-application-1506638472019-33864-kfp22,15.0,27.0
ph-application-1506638472019-3406-2z46z,31.0,42.0
ph-application-1506638472019-34117-228cp,19.0,30.0
ph-application-1506638472019-34119-2vdfz,24.0,36.0
ph-application-1506638472019-34131-l82w6,24.0,26.0
ph-application-1506638472019-34355-w49wt,23.0,24.0
ph-application-1506638472019-34420-zcnbg,27.0,29.0
ph-application-1506638472019-34475-5t5hj,27.0,39.0
ph-application-1506638472019-34532-gxb4c,26.0,38.0
ph-application-1506638472019-34620-wmxh2,26.0,38.0
ph-application-1506638472019-34661-snjkz,26.0,38.0
ph-application-1506638472019-34779-9qgxl,26.0,38.0
ph-application-1506638472019-34791-c5w6t,31.0,32.0
ph-application-1506638472019-34844-npfsd,692.0,704.0
ph-application-1506638472019-34874-h7b69,31.0,42.0
ph-application-1506638472019-35113-s6mq5,1191.0,1202.0
ph-application-1506638472019-35115-x54xm,1213.0,1225.0
ph-application-1506638472019-35121-fxxl7,1191.0,1203.0
ph-application-1506638472019-35284-6rtl4,30.0,41.0
ph-application-1506638472019-35339-9vvm5,30.0,41.0
ph-application-1506638472019-35388-5rp6s,757.0,758.0
ph-application-1506638472019-35496-kpn75,35.0,37.0
ph-application-1506638472019-35512-rdrsl,35.0,37.0
ph-application-1506638472019-3565-bmdjn,45.0,46.0
ph-application-1506638472019-35771-9kmqw,34.0,45.0
ph-application-1506638472019-35788-psfh2,34.0,45.0
ph-application-1506638472019-35813-pxflm,34.0,45.0
ph-application-1506638472019-35887-5p4nr,39.0,50.0
ph-application-1506638472019-35897-7mdc2,39.0,40.0
ph-application-1506638472019-35966-c9zch,38.0,49.0
ph-application-1506638472019-3613-6xg85,29.0,40.0
ph-application-1506638472019-36209-xvsbd,42.0,53.0
ph-application-1506638472019-36326-tjzgf,41.0,52.0
ph-application-1506638472019-36496-tvbj7,40.0,51.0
ph-application-1506638472019-36764-9lfm5,42.0,53.0
ph-application-1506638472019-36954-psf67,39.0,51.0
ph-application-1506638472019-36973-mlj5p,39.0,51.0
ph-application-1506638472019-37140-vwzrh,43.0,55.0
ph-application-1506638472019-37167-nrgv6,1175.0,1187.0
ph-application-1506638472019-37278-knpqg,38.0,49.0
ph-application-1506638472019-37303-85cxc,43.0,54.0
ph-application-1506638472019-37364-lql66,43.0,54.0
ph-application-1506638472019-37379-cfn2x,43.0,54.0
ph-application-1506638472019-3750-k4jrl,23.0,35.0
ph-application-1506638472019-37733-rrwj9,46.0,57.0
ph-application-1506638472019-3788-nq5bc,41.0,42.0
ph-application-1506638472019-37887-r2xvf,45.0,56.0
ph-application-1506638472019-37955-vd6zs,1171.0,1173.0
ph-application-1506638472019-38014-qvdcz,44.0,56.0
ph-application-1506638472019-38114-stntb,46.0,57.0
ph-application-1506638472019-3819-b6tmp,20.0,32.0
ph-application-1506638472019-38193-l8z8z,1169.0,1180.0
ph-application-1506638472019-38423-9lpwp,1168.0,1179.0
ph-application-1506638472019-38690-ktjms,1904.0,1915.0
ph-application-1506638472019-38775-b7jmq,36.0,48.0
ph-application-1506638472019-39077-vwbk6,34.0,46.0
ph-application-1506638472019-39137-kf5vw,35.0,46.0
ph-application-1506638472019-39248-6ftx2,33.0,44.0
ph-application-1506638472019-39285-wd2kd,38.0,49.0
ph-application-1506638472019-4257-v2ndh,4.0,16.0
ph-application-1506638472019-4505-jwms9,14.0,27.0
ph-application-1506638472019-4510-88hcp,1588.0,1599.0
ph-application-1506638472019-4584-zmv4j,11.0,24.0
ph-application-1506638472019-4590-mtckp,11.0,24.0
ph-application-1506638472019-4772-zvlvj,9.0,12.0
ph-application-1506638472019-4898-b9rjv,9.0,21.0
ph-application-1506638472019-4980-xzb46,9.0,21.0
ph-application-1506638472019-5127-mtdpc,9.0,21.0
ph-application-1506638472019-5296-f9x2w,13.0,24.0
ph-application-1506638472019-5305-llfgt,13.0,24.0
ph-application-1506638472019-5363-mw8kl,22.0,34.0
ph-application-1506638472019-5436-xr78p,22.0,34.0
ph-application-1506638472019-5644-4k9db,23.0,34.0
ph-application-1506638472019-5732-l5qxj,22.0,33.0
ph-application-1506638472019-6191-8x8fb,9.0,20.0
ph-application-1506638472019-6235-w5p9s,8.0,19.0
ph-application-1506638472019-6359-t78jn,4.0,15.0
ph-application-1506638472019-6417-5dwwr,14.0,25.0
ph-application-1506638472019-6545-7n8wv,14.0,25.0
ph-application-1506638472019-6546-8q6nq,14.0,25.0
ph-application-1506638472019-6575-tstmc,14.0,26.0
ph-application-1506638472019-6726-krmd9,18.0,30.0
ph-application-1506638472019-6729-qxkl4,18.0,30.0
ph-application-1506638472019-6740-kzpxv,18.0,30.0
ph-application-1506638472019-6761-zgcjt,28.0,40.0
ph-application-1506638472019-6834-5v624,28.0,40.0
ph-application-1506638472019-6867-7d8w8,28.0,40.0
ph-application-1506638472019-7002-5bfmx,104.0,116.0
ph-application-1506638472019-7075-dzdhn,104.0,116.0
ph-application-1506638472019-7117-smtwb,141.0,152.0
ph-application-1506638472019-7118-pz8tv,145.0,157.0
ph-application-1506638472019-7207-ppsk5,145.0,157.0
ph-application-1506638472019-7264-nd6f9,438.0,449.0
ph-application-1506638472019-7291-957ct,438.0,449.0
ph-application-1506638472019-7336-7kbgh,443.0,454.0
ph-application-1506638472019-7358-vgh8s,442.0,453.0
ph-application-1506638472019-7367-qrbcp,447.0,459.0
ph-application-1506638472019-7402-prb92,447.0,459.0
ph-application-1506638472019-7474-nwsj9,448.0,459.0
ph-application-1506638472019-7994-7q28r,452.0,463.0
ph-application-1506638472019-8064-8tc6w,452.0,463.0
ph-application-1506638472019-8188-f59nt,452.0,463.0
ph-application-1506638472019-8386-tdtr2,455.0,466.0
ph-application-1506638472019-8553-65f58,454.0,465.0
ph-application-1506638472019-8617-5kvgf,459.0,471.0
ph-application-1506638472019-8740-l4lzt,457.0,469.0
ph-application-1506638472019-8799-nm45f,457.0,469.0
ph-application-1506638472019-8834-tph6x,462.0,474.0
ph-application-1506638472019-8853-v6fg9,463.0,474.0
ph-application-1506638472019-8936-t5224,462.0,473.0
ph-application-1506638472019-9265-sv8h8,466.0,477.0
ph-application-1506638472019-9329-2twd4,466.0,477.0
ph-application-1506638472019-9471-jrsmn,471.0,482.0
ph-application-1506638472019-9682-lt4tx,470.0,482.0
ph-application-1506638472019-9793-q6v4l,2300.0,2311.0
ph-application-1506638472019-9874-6b4cx,467.0,479.0
ph-application-1506638472019-9949-b6f5t,472.0,484.0
ph-application-1506638472019-9970-vjjm7,473.0,484.0
ph-application-1506638472019-9980-m9kdd,473.0,484.0
ph-application-1508364558011-0030-k485c,1170.0,1181.0
ph-application-1508364558011-0128-pb5zf,92.0,103.0
ph-application-1508364558011-0177-9jc75,714.0,725.0
ph-application-1508364558011-0422-hlkw6,83.0,94.0
ph-application-1508364558011-0493-v89w4,726.0,727.0
ph-application-1508364558011-0600-p7wt6,80.0,81.0
ph-application-1508364558011-0704-ljl78,88.0,100.0
ph-application-1508364558011-0835-zrwxx,86.0,98.0
ph-application-1508364558011-10089-shsf2,3.0,14.0
ph-application-1508364558011-10114-gk4rs,8.0,19.0
ph-application-1508364558011-10192-pmt7d,13.0,24.0
ph-application-1508364558011-10229-v2jmn,13.0,25.0
ph-application-1508364558011-10254-jfkpj,13.0,25.0
ph-application-1508364558011-10421-b68xt,13.0,25.0
ph-application-1508364558011-10474-s8f7x,17.0,29.0
