pod,queue_sec,jct_sec
ph-application-1506638472019-37364-2wwr9,73.0,85.0
ph-application-1506638472019-37379-62n2h,79.0,90.0
ph-application-1506638472019-3750-crrpn,23.0,35.0
ph-application-1506638472019-37733-xbvzn,78.0,89.0
ph-application-1506638472019-3788-jjg4f,41.0,42.0
ph-application-1506638472019-37887-dndl2,77.0,88.0
ph-application-1506638472019-37955-6s9kj,76.0,77.0
ph-application-1506638472019-38014-nrjlw,81.0,93.0
ph-application-1506638472019-38114-4hdzz,78.0,90.0
ph-application-1506638472019-3819-f7bs5,20.0,32.0
ph-application-1506638472019-38193-r9546,77.0,89.0
ph-application-1506638472019-38423-82l7w,77.0,89.0
ph-application-1506638472019-38690-rzgqq,904.0,915.0
ph-application-1506638472019-38775-blk7h,73.0,84.0
ph-application-1506638472019-39077-qcbs8,72.0,83.0
ph-application-1506638472019-39137-2hd2k,72.0,83.0
ph-application-1506638472019-39248-fc5fs,70.0,81.0
ph-application-1506638472019-39285-wx2gf,75.0,86.0
ph-application-1506638472019-4257-2gmsf,3.0,15.0
ph-application-1506638472019-4505-fw84v,14.0,26.0
ph-application-1506638472019-4510-pf7ms,14.0,27.0
ph-application-1506638472019-4584-sbz2p,12.0,24.0
ph-application-1506638472019-4590-tsx82,12.0,24.0
ph-application-1506638472019-4772-7l7p4,10.0,12.0
ph-application-1506638472019-4898-9m7qx,9.0,21.0
ph-application-1506638472019-4980-mngrx,13.0,25.0
ph-application-1506638472019-5127-h5pzs,14.0,25.0
ph-application-1506638472019-5296-nc2g4,24.0,36.0
ph-application-1506638472019-5305-mfcjz,24.0,36.0
ph-application-1506638472019-5363-wdqdd,22.0,34.0
ph-application-1506638472019-5436-rbn58,22.0,34.0
ph-application-1506638472019-5644-8zkc4,22.0,34.0
ph-application-1506638472019-5732-gwvsc,22.0,34.0
ph-application-1506638472019-6191-zjwg8,9.0,20.0
ph-application-1506638472019-6235-6q6vn,18.0,30.0
ph-application-1506638472019-6359-lv7xn,4.0,15.0
ph-application-1506638472019-6417-dp7fq,14.0,26.0
ph-application-1506638472019-6545-qwgwq,14.0,26.0
ph-application-1506638472019-6546-qq258,14.0,26.0
ph-application-1506638472019-6575-q4kkl,14.0,26.0
ph-application-1506638472019-6726-72jj7,18.0,29.0
ph-application-1506638472019-6729-fjlfb,28.0,40.0
ph-application-1506638472019-6740-d27bs,29.0,40.0
ph-application-1506638472019-6761-tmxbz,29.0,41.0
ph-application-1506638472019-6834-l8lxr,29.0,41.0
ph-application-1506638472019-6867-6s48m,475.0,486.0
ph-application-1506638472019-7002-5blnr,475.0,487.0
ph-application-1506638472019-7075-6s7d8,475.0,487.0
ph-application-1506638472019-7117-wmwm4,480.0,491.0
ph-application-1506638472019-7118-qf5ft,485.0,497.0
ph-application-1506638472019-7207-9s7lp,486.0,497.0
ph-application-1506638472019-7264-ptzxh,486.0,497.0
ph-application-1506638472019-7291-wlp57,491.0,502.0
ph-application-1506638472019-7336-57hl2,491.0,502.0
ph-application-1506638472019-7358-wvt72,490.0,502.0
ph-application-1506638472019-7367-w6fvx,490.0,501.0
ph-application-1506638472019-7402-x2lqv,495.0,506.0
ph-application-1506638472019-7474-c5sxq,500.0,512.0
ph-application-1506638472019-7994-wvbwf,500.0,511.0
ph-application-1506638472019-8064-w2qzj,500.0,511.0
ph-application-1506638472019-8188-tzv6k,504.0,515.0
ph-application-1506638472019-8386-95sdq,502.0,513.0
ph-application-1506638472019-8553-gx2b7,502.0,513.0
ph-application-1506638472019-8617-47pxv,502.0,513.0
ph-application-1506638472019-8740-s5gfd,505.0,516.0
ph-application-1506638472019-8799-ljptv,510.0,522.0
ph-application-1506638472019-8834-xfvcr,509.0,521.0
ph-application-1506638472019-8853-dgbc2,510.0,521.0
ph-application-1506638472019-8936-xbqcd,515.0,526.0
ph-application-1506638472019-9265-6zwvb,514.0,525.0
ph-application-1506638472019-9329-c98xj,514.0,525.0
ph-application-1506638472019-9471-llmhn,514.0,525.0
ph-application-1506638472019-9682-v6qjf,518.0,529.0
ph-application-1506638472019-9793-qq2x7,1298.0,1310.0
ph-application-1506638472019-9874-jf8n5,520.0,532.0
ph-application-1506638472019-9949-5cbw8,520.0,532.0
ph-application-1506638472019-9970-zxhm5,520.0,532.0
ph-application-1506638472019-9980-wz795,526.0,537.0
ph-application-1508364558011-0030-5fb4g,137.0,148.0
ph-application-1508364558011-0128-sszq2,145.0,156.0
ph-application-1508364558011-0177-mmwcf,922.0,933.0
ph-application-1508364558011-0422-nlz6p,131.0,142.0
ph-application-1508364558011-0493-8tzc7,934.0,935.0
ph-application-1508364558011-0600-8q7c4,133.0,134.0
ph-application-1508364558011-0704-s6fj2,142.0,153.0
ph-application-1508364558011-0835-gjwgx,140.0,151.0
ph-application-1508364558011-10089-6csgj,55.0,66.0
ph-application-1508364558011-10114-7g44d,55.0,66.0
ph-application-1508364558011-10192-q6md9,65.0,77.0
ph-application-1508364558011-10229-qvs6d,65.0,77.0
ph-application-1508364558011-10254-fhpb6,65.0,77.0
ph-application-1508364558011-10421-gpjxp,66.0,77.0
ph-application-1508364558011-10474-cqfxr,70.0,82.0
ph-application-1508364558011-10504-72t4j,71.0,82.0
ph-application-1508364558011-10628-s58wk,71.0,82.0
