job,arrival,wall
ph-application-1506638472019-24890,509.9,509.9
ph-application-1506638472019-25096,510.4,510.4
ph-application-1506638472019-25213,510.7,510.7
ph-application-1506638472019-25220,510.7,510.7
ph-application-1506638472019-25392,511.3,511.3
ph-application-1506638472019-25601,511.8,511.8
ph-application-1506638472019-25750,513.1,513.1
ph-application-1506638472019-25947,514.6,514.6
ph-application-1506638472019-26148,515.8,515.8
ph-application-1506638472019-26229,516.3,516.3
ph-application-1506638472019-26307,521.2,521.2
ph-application-1506638472019-26604,525.8,525.8
ph-application-1506638472019-26717,526.0,526.0
ph-application-1506638472019-26756,526.1,526.1
ph-application-1506638472019-27276,529.2,529.2
ph-application-1506638472019-27442,529.6,529.6
ph-application-1506638472019-27716,533.2,533.2
ph-application-1506638472019-27740,533.4,533.4
ph-application-1506638472019-27912,535.9,535.9
ph-application-1506638472019-27948,536.0,536.0
ph-application-1506638472019-28023,536.2,536.2
ph-application-1506638472019-28037,536.2,536.2
ph-application-1506638472019-28044,536.2,536.2
ph-application-1506638472019-28071,536.3,536.3
ph-application-1506638472019-28162,536.6,536.6
ph-application-1506638472019-28228,536.9,536.9
ph-application-1506638472019-28352,537.6,537.6
ph-application-1506638472019-28770,539.2,539.2
ph-application-1506638472019-28791,539.2,539.2
ph-application-1506638472019-29344,553.6,553.6
ph-application-1506638472019-29405,555.7,555.8
ph-application-1506638472019-29468,556.2,556.2
ph-application-1506638472019-29936,567.0,567.1
ph-application-1506638472019-29974,568.6,568.6
ph-application-1506638472019-29987,569.8,569.8
ph-application-1506638472019-30423,573.9,573.9
ph-application-1506638472019-30633,574.8,574.8
ph-application-1506638472019-30639,574.8,574.8
ph-application-1506638472019-30687,575.0,575.0
ph-application-1506638472019-30757,575.1,575.1
ph-application-1506638472019-30904,575.4,575.4
ph-application-1506638472019-30919,575.4,575.4
ph-application-1506638472019-31022,576.2,576.2
ph-application-1506638472019-31025,576.2,576.2
ph-application-1506638472019-31048,577.6,577.6
ph-application-1506638472019-31067,577.8,577.8
ph-application-1506638472019-31191,578.8,578.8
ph-application-1506638472019-31567,586.9,587.0
ph-application-1506638472019-31810,595.3,595.3
ph-application-1506638472019-31822,595.7,595.7
ph-application-1506638472019-32235,619.4,619.5
ph-application-1506638472019-32295,620.1,620.1
ph-application-1506638472019-32362,621.2,621.2
ph-application-1506638472019-32418,621.2,621.3
ph-application-1506638472019-32508,621.3,621.3
ph-application-1506638472019-32550,621.3,621.3
ph-application-1506638472019-32572,621.4,621.4
ph-application-1506638472019-32772,623.4,623.4
ph-application-1506638472019-32833,624.6,624.6
ph-application-1506638472019-33046,633.8,633.8
ph-application-1506638472019-33150,636.9,636.9
ph-application-1506638472019-33435,640.5,640.5
ph-application-1506638472019-33537,640.8,640.8
ph-application-1506638472019-33570,640.9,640.9
ph-application-1506638472019-33722,641.4,641.4
ph-application-1506638472019-33837,641.8,641.8
ph-application-1506638472019-33851,641.9,641.9
ph-application-1506638472019-33864,642.4,642.4
ph-application-1506638472019-34117,643.1,643.1
ph-application-1506638472019-34119,643.2,643.2
ph-application-1506638472019-34131,643.4,643.4
ph-application-1506638472019-34355,645.4,645.4
ph-application-1506638472019-34420,645.8,645.9
ph-application-1506638472019-34475,646.0,646.0
ph-application-1506638472019-34532,646.8,646.8
ph-application-1506638472019-34620,647.2,647.2
ph-application-1506638472019-34661,647.2,647.2
ph-application-1506638472019-34779,647.5,647.5
ph-application-1506638472019-34791,647.5,647.5
ph-application-1506638472019-34844,647.6,647.6
ph-application-1506638472019-34874,647.7,647.7
ph-application-1506638472019-35113,651.1,651.1
ph-application-1506638472019-35115,651.1,651.1
ph-application-1506638472019-35121,651.2,651.2
ph-application-1506638472019-35284,652.7,652.8
ph-application-1506638472019-35339,653.1,653.1
ph-application-1506638472019-35388,653.2,653.3
ph-application-1506638472019-35496,653.6,653.6
ph-application-1506638472019-35512,653.6,653.6
ph-application-1506638472019-35771,655.1,655.1
ph-application-1506638472019-35788,655.3,655.3
ph-application-1506638472019-35813,655.4,655.4
ph-application-1506638472019-35887,655.6,655.6
ph-application-1506638472019-35897,655.6,655.6
ph-application-1506638472019-35966,655.8,655.8
ph-application-1506638472019-36209,657.6,657.6
ph-application-1506638472019-36326,658.4,658.4
ph-application-1506638472019-36496,659.3,659.3
ph-application-1506638472019-36764,662.1,662.1
ph-application-1506638472019-36954,664.9,664.9
ph-application-1506638472019-36973,665.2,665.3
ph-application-1506638472019-37140,666.6,666.6
ph-application-1506638472019-37167,667.7,667.7
ph-application-1506638472019-37278,671.8,671.8
ph-application-1506638472019-37303,671.8,671.8
ph-application-1506638472019-37364,672.7,672.7
ph-application-1506638472019-37379,672.7,672.7
ph-application-1506638472019-37733,674.2,674.2
ph-application-1506638472019-37887,675.4,675.4
ph-application-1506638472019-37955,676.1,676.2
ph-application-1506638472019-38014,676.5,676.5
ph-application-1506638472019-38114,679.0,679.0
ph-application-1506638472019-38193,679.5,679.5
ph-application-1506638472019-38423,680.3,680.3
ph-application-1506638472019-38690,687.2,687.2
ph-application-1506638472019-38775,689.3,689.3
ph-application-1506638472019-39077,695.8,695.8
ph-application-1506638472019-39137,696.0,696.0
ph-application-1506638472019-39248,697.9,697.9
ph-application-1506638472019-39285,697.9,697.9
ph-application-1508364558011-0030,700.4,700.4
ph-application-1508364558011-0128,702.0,702.0
ph-application-1508364558011-0177,702.0,702.0
ph-application-1508364558011-0422,705.8,705.8
ph-application-1508364558011-0493,706.6,706.6
ph-application-1508364558011-0600,709.2,709.2
ph-application-1508364558011-0704,710.8,710.8
ph-application-1508364558011-0835,713.2,713.2
ph-application-1508364558011-1305,724.3,724.3
ph-application-1508364558011-1424,727.3,727.3
ph-application-1508364558011-1678,730.3,730.3
ph-application-1508364558011-1804,731.5,731.5
ph-application-1508364558011-1862,731.6,731.6
ph-application-1508364558011-1883,731.7,731.7
ph-application-1508364558011-1934,731.8,731.8
ph-application-1508364558011-2207,734.7,734.7
ph-application-1508364558011-2401,734.8,734.8
ph-application-1508364558011-2450,735.0,735.0
ph-application-1508364558011-2457,735.0,735.0
ph-application-1508364558011-2553,735.1,735.1
ph-application-1508364558011-2579,735.2,735.2
ph-application-1508364558011-2624,735.3,735.3
ph-application-1508364558011-2861,736.6,736.6
ph-application-1508364558011-2918,736.7,736.7
ph-application-1508364558011-2930,736.7,736.7
ph-application-1508364558011-2951,736.8,736.8
ph-application-1508364558011-3207,739.0,739.0
