job_id,arrival_s,service_sec,gpu_count
ali-03ca6e2538c4726d8754280f-tensorflow#496314,179596.0,1902.0,1
ali-8b4aa32f3201fc5db81cdd47-tensorflow#288800,179597.0,1254.0,1
ali-708215fbbb135d2e048df0eb-tensorflow#368370,179601.0,3401.0,1
ali-aed039e5b29395cb08bfa3f8-tensorflow#94085,179903.0,3375.0,1
ali-f1ad81561067bcb7ba852212-tensorflow#250255,179904.0,445.0,1
ali-5f4a0782624b062441e9dded-worker#112224,179914.0,31.0,1
ali-f05d4ad4683fcb3f9be920e4-worker#312346,180004.0,32.0,1
ali-1dff1d0e03c33665e4ca4e2d-worker#485010,180007.0,50.0,1
ali-2eee20914a049e356b32a4bb-tensorflow#266612,180043.0,1173.0,1
ali-3593be6fd73aebcbde9540d0-tensorflow#487775,180045.0,1088.0,1
ali-5b7eeccc0e8c81b3ce5df234-tensorflow#103766,180066.0,30.0,1
ali-a799ddaed4bea2f7ecab2460-tensorflow#207731,180113.0,45.0,1
ali-1dc2d581f3e9a27a2f6962a0-worker#245755,180114.0,32.0,1
ali-ea64a453a26c9ef32827f138-tensorflow#361056,180123.0,44.0,1
ali-dee57d378bf4ed9bc876fab0-tensorflow#362761,180193.0,44.0,1
ali-96a0fc530e6a1733a11539dd-tensorflow#77674,180286.0,31.0,1
ali-71df1763a035330e6c357458-ps#549544,180303.0,43.0,1
ali-59db77da1d0252d220ca7493-tensorflow#172632,180318.0,29.0,1
ali-6b7303723d8d7feafda8bfc3-OpenmpiWorker#118077,180696.0,758.0,2
ali-96362dd0a349cf37648bb567-xComputeWorker#490423,180769.0,370.0,1
ali-eb5bc9b8892cba8ebb175fc8-tensorflow#223093,180998.0,34.0,1
ali-84a80d9543940c40753c5735-tensorflow#404415,181338.0,5671.0,1
ali-266c87d88c1dc31fd8dce4d7-worker#134032,182014.0,177.0,16
ali-3ff9116295d1adea149086cc-worker#514849,182018.0,209.0,16
ali-4519e7e335df009490b8b408-worker#215422,182020.0,307.0,16
ali-312a1271d9a200c2b9b3c083-worker#151324,182035.0,2621.0,10
ali-7eb710f15efb94449e1b40b5-worker#554409,182039.0,1152.0,16
ali-3900092fbc9a70c0c5774842-worker#37393,182209.0,9276.0,10
ali-06efd5a25b25e4a840f5e258-worker#324608,182238.0,2738.0,16
ali-8e5b45805d08048b5ee2349b-tensorflow#269956,182351.0,23640.0,1
ali-7c42f324829afaf2417471e6-tensorflow#477686,182444.0,206.0,1
ali-79f5e07a1b31a5a1acc9401b-tensorflow#473200,182515.0,2220.0,1
ali-4de1482b4505eb65d01fb5f7-tensorflow#198649,182609.0,4180.0,1
ali-1e85b177fbe47ba67df2392d-tensorflow#449644,182612.0,3782.0,1
ali-cbb54e9ee313193f0bf6b919-tensorflow#334364,182691.0,33.0,1
ali-d99347660ef07706cf940446-tensorflow#448217,182920.0,107.0,1
ali-c8720c526b361689ef3d8668-tensorflow#149964,182924.0,105.0,1
ali-930c363d063b891dbcb11070-worker#64873,183104.0,2074.0,4
ali-6042774fe3b901f0743ba952-tensorflow#437919,183116.0,807.0,1
ali-5eff1e2f8db4a6b78cb29079-PyTorchWorker#226693,183145.0,352.0,1
ali-a78612e8b4bb89dc205a80a4-tensorflow#193084,183222.0,1072.0,1
ali-39e3c925004dd8753155840c-tensorflow#106436,183228.0,33604.0,1
ali-f4fec5758eaa4de5a6a77578-tensorflow#149853,183228.0,31169.0,1
ali-be41c9f1eecf9b4ff7d9c3f5-tensorflow#2589,183266.0,277.0,3
ali-09620b5646546ead2ba305b9-tensorflow#442105,183269.0,1667.0,1
ali-a67e9ab1d55dbe2f3791d337-tensorflow#532557,183925.0,578.0,1
ali-0e8a8d3190719aaac8fbb378-worker#186343,183977.0,268.0,4
ali-b8b1e73f439512b36ee6c754-tensorflow#499507,184173.0,55.0,1
ali-15027bc61a615c307e1ad645-worker#64557,184237.0,9553.0,100
ali-365834e2a3c2f1d8516b4ad4-evaluator#359879,184747.0,3092.0,1
ali-dea6560b55e937c1dfbee4ef-tensorflow#519763,185095.0,21302.0,1
ali-1282c9e9fdd183ed225d418b-tensorflow#135728,185284.0,49.0,1
ali-99c17c8710b0e96413917c5a-worker#431555,186289.0,15091.0,20
ali-b42b8bd0222cc6f7aa7cf881-tensorflow#257710,186302.0,26.0,1
ali-32f3965b93c885ec4702a929-tensorflow#375593,186364.0,256.0,1
ali-e58a130650b5fa66fe99dfd8-tensorflow#88535,186419.0,36.0,1
ali-034e5c97f17c3e9221fc6e86-tensorflow#334213,186496.0,195.0,1
ali-03178175b4b83e1fd4e4ea90-tensorflow#429511,186779.0,113796.0,1
ali-b9be5388d92fa1ac05eb82da-tensorflow#139735,186824.0,1700.0,1
ali-11dd5e9ca0d5f4a95f72e834-worker#514262,186878.0,31.0,1
ali-b045cc9d1ea10b31a182c04d-worker#70472,186894.0,76.0,2
ali-970dc6231b9ddeba10ef9289-tensorflow#15062,186999.0,40.0,2
ali-c5c36b9180fd68043c199a6e-tensorflow#36820,187043.0,2345.0,1
ali-00d767cd247b326a4c871d37-ps#347608,187146.0,106.0,2
ali-6bbbbda47c9a9f187e1ba52a-tensorflow#11308,187358.0,35.0,1
ali-c55631acd6062e74dc5896ac-tensorflow#102307,187419.0,173.0,1
ali-682f72b662fc6662aebebcec-worker#6791,187564.0,18924.0,10
ali-cbafe908c3d06a39450b9c99-worker#411388,187564.0,18213.0,10
ali-ec6c6c96d701351fda205e6d-tensorflow#358827,187690.0,65.0,1
ali-3957fea13ba4275ca1f49006-tensorflow#335449,187846.0,38.0,1
ali-c866c5a3fb9c49fb9b70ccd9-worker#155575,188004.0,93.0,200
ali-5bbbf7d9852f3e75c3b70920-worker#339685,188015.0,29.0,1
ali-9786c8d28aacbe5c9180e111-tensorflow#374771,188048.0,5781.0,1
ali-12170f71b022c7f5a1498238-tensorflow#153577,188162.0,24.0,1
ali-cfb7ef6acb211410dff4452e-tensorflow#126815,188247.0,29.0,2
ali-83b991c9dddea1ac35399546-PyTorchWorker#194531,188347.0,102.0,2
ali-f9fc69e55447a6622aa435d1-tensorflow#276261,188464.0,34.0,1
ali-9f832ec9b0cb36149d4e6528-worker#352480,188686.0,30351.0,20
ali-5c302b33bd8c9842a34f7e02-xComputeWorker#95086,188706.0,474.0,1
ali-96b86b941726ead37b74e1d2-ps#390421,188715.0,44.0,1
ali-664f2abf4870c967ca3b5d17-worker#73763,188794.0,8135.0,30
