job_id,arrival_time,duration,gpu_count,gpu_type,preemptible,workload_kind,priority,source_trace
ph-application_1506638472019_5363,272.509,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_5436,272.56033333333335,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_5644,272.694,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_5732,272.76033333333334,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_6191,290.86833333333334,6,1,NVIDIA-B200,False,inference,0,philly
ph-application_1506638472019_6235,292.37266666666665,6,2,NVIDIA-B200,False,inference,0,philly
ph-application_1506638472019_6359,295.79766666666666,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_6417,295.965,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_6545,296.23833333333334,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_6546,296.24,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_6575,296.3813333333333,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_6726,297.1503333333333,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_6729,297.1553333333333,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_6740,297.1723333333333,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_6761,297.2776666666667,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_6834,297.4433333333333,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_6867,297.5486666666667,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_7002,297.7436666666667,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_7075,297.83233333333334,6,1,NVIDIA-B200,False,inference,0,philly
ph-application_1506638472019_7117,297.87666666666667,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_7118,297.87766666666664,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_7207,297.97333333333336,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_7264,298.0493333333333,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_7291,298.108,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_7336,298.18966666666665,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_7358,298.8063333333333,6,1,NVIDIA-B200,False,inference,0,philly
ph-application_1506638472019_7367,298.87266666666665,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_7402,298.9386666666667,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_7474,299.11333333333334,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_7994,300.2456666666667,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_8064,300.3996666666667,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_8188,300.676,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_8386,302.61333333333334,6,1,NVIDIA-B200,False,inference,0,philly
ph-application_1506638472019_8553,303.0763333333333,6,1,NVIDIA-B200,False,inference,0,philly
ph-application_1506638472019_8617,303.23466666666667,6,1,NVIDIA-B200,False,inference,0,philly
