ts,gpu_util_avg,gpu_mem_used_mib,n_gpu,alloc_used,alloc_pct,pending_gpu_pods,running_gpu_pods
2026-06-11T21:09:12.513094+00:00,0.0,0.0,8,8,100.0,30,8
2026-06-11T21:09:16.064286+00:00,0.0,0.0,8,8,100.0,30,8
2026-06-11T21:09:19.546217+00:00,0.0,0.0,8,8,100.0,30,8
2026-06-11T21:09:23.091778+00:00,0.0,0.0,8,7,87.5,30,7
2026-06-11T21:09:26.565617+00:00,0.0,0.0,8,7,87.5,30,7
2026-06-11T21:09:30.068853+00:00,0.0,0.0,8,6,75.0,30,6
2026-06-11T21:09:33.556915+00:00,0.0,0.0,8,6,75.0,30,6
2026-06-11T21:09:37.030341+00:00,0.0,0.0,8,6,75.0,30,6
2026-06-11T21:09:40.668470+00:00,0.0,0.0,8,6,75.0,30,6
2026-06-11T21:09:44.169748+00:00,0.0,0.0,8,5,62.5,30,5
2026-06-11T21:09:47.635123+00:00,0.0,0.0,8,5,62.5,30,5
2026-06-11T21:09:51.163120+00:00,0.0,0.0,8,5,62.5,30,5
2026-06-11T21:09:54.646436+00:00,0.0,0.0,8,4,50.0,30,4
2026-06-11T21:09:58.175565+00:00,0.0,0.0,8,4,50.0,29,4
2026-06-11T21:10:01.649186+00:00,0.0,0.0,8,4,50.0,28,4
2026-06-11T21:10:05.170612+00:00,0.0,0.0,8,8,100.0,27,5
2026-06-11T21:10:08.635485+00:00,0.0,0.0,8,8,100.0,27,5
2026-06-11T21:10:12.114763+00:00,0.0,0.0,8,8,100.0,27,5
2026-06-11T21:10:15.603362+00:00,0.0,0.0,8,8,100.0,27,5
2026-06-11T21:10:19.049506+00:00,0.0,0.0,8,8,100.0,27,5
2026-06-11T21:10:22.542560+00:00,0.0,0.0,8,8,100.0,27,5
2026-06-11T21:10:25.992065+00:00,0.0,0.0,8,8,100.0,27,5
2026-06-11T21:10:29.509103+00:00,0.0,0.0,8,8,100.0,27,5
2026-06-11T21:10:33.012906+00:00,0.0,0.0,8,8,100.0,27,5
2026-06-11T21:10:36.498853+00:00,0.0,0.0,8,8,100.0,27,5
2026-06-11T21:10:39.980680+00:00,0.0,0.0,8,8,100.0,27,5
2026-06-11T21:10:43.462810+00:00,0.0,0.0,8,8,100.0,27,5
