ts,gpu_util_avg,gpu_mem_used_mib,n_gpu,alloc_used,alloc_pct,pending_gpu_pods,running_gpu_pods
2026-06-11T18:02:56.517533+00:00,0.0,0.0,8,7,87.5,44,7
2026-06-11T18:02:59.736322+00:00,0.0,0.0,8,6,75.0,46,6
2026-06-11T18:03:02.945399+00:00,0.0,0.0,8,7,87.5,46,7
2026-06-11T18:03:06.200307+00:00,0.0,0.0,8,7,87.5,48,7
2026-06-11T18:03:09.459502+00:00,0.0,0.0,8,7,87.5,49,7
2026-06-11T18:03:12.682877+00:00,0.0,0.0,8,7,87.5,49,7
2026-06-11T18:03:15.917212+00:00,0.0,0.0,8,7,87.5,51,7
2026-06-11T18:03:19.143618+00:00,0.0,0.0,8,7,87.5,51,7
2026-06-11T18:03:22.365933+00:00,0.0,0.0,8,7,87.5,52,7
2026-06-11T18:03:25.669642+00:00,0.0,0.0,8,6,75.0,54,6
2026-06-11T18:03:28.920407+00:00,0.0,0.0,8,6,75.0,53,6
2026-06-11T18:03:32.155172+00:00,0.0,0.0,8,8,100.0,53,8
2026-06-11T18:03:35.395119+00:00,0.0,0.0,8,8,100.0,55,8
2026-06-11T18:03:38.631274+00:00,0.0,0.0,8,4,50.0,56,4
2026-06-11T18:03:41.870665+00:00,0.0,0.0,8,8,100.0,57,5
2026-06-11T18:03:45.083328+00:00,0.0,0.0,8,7,87.5,58,4
2026-06-11T18:03:48.307574+00:00,0.0,0.0,8,3,37.5,59,3
2026-06-11T18:03:51.556553+00:00,0.0,0.0,8,7,87.5,60,4
2026-06-11T18:03:54.783374+00:00,0.0,0.0,8,6,75.0,60,3
2026-06-11T18:03:58.003776+00:00,0.0,0.0,8,8,100.0,61,4
2026-06-11T18:04:01.372774+00:00,0.0,0.0,8,6,75.0,63,2
2026-06-11T18:04:04.626047+00:00,0.0,0.0,8,6,75.0,62,3
2026-06-11T18:04:07.845957+00:00,0.0,0.0,8,7,87.5,63,4
2026-06-11T18:04:11.235172+00:00,0.0,0.0,8,6,75.0,63,3
2026-06-11T18:04:14.529617+00:00,0.0,0.0,8,8,100.0,63,5
2026-06-11T18:04:17.753271+00:00,0.0,0.0,8,8,100.0,65,5
2026-06-11T18:04:20.978361+00:00,0.0,0.0,8,7,87.5,66,4
2026-06-11T18:04:24.253480+00:00,0.0,0.0,8,3,37.5,67,3
2026-06-11T18:04:27.540862+00:00,0.0,0.0,8,3,37.5,69,3
2026-06-11T18:04:30.776877+00:00,0.0,0.0,8,3,37.5,68,3
2026-06-11T18:04:34.009668+00:00,0.0,0.0,8,8,100.0,68,5
2026-06-11T18:04:37.257897+00:00,0.0,0.0,8,8,100.0,69,5
2026-06-11T18:04:40.485959+00:00,0.0,0.0,8,7,87.5,71,4
2026-06-11T18:04:43.722765+00:00,0.0,0.0,8,7,87.5,73,4
2026-06-11T18:04:47.121030+00:00,0.0,0.0,8,7,87.5,73,4
2026-06-11T18:04:50.375401+00:00,0.0,0.0,8,7,87.5,74,4
