pod,queue_sec,jct_sec
ph-application-1508364558011-35456-cdwtn,938.0,939.0
ph-application-1508364558011-35538-m2sf7,1107.0,1108.0
ph-application-1508364558011-35583-7nqcz,1030.0,1032.0
ph-application-1508364558011-35641-27t7d,1055.0,1056.0
ph-application-1508364558011-35650-h5qks,1117.0,1118.0
ph-application-1508364558011-35654-wnk6b,1099.0,1100.0
ph-application-1508364558011-35731-2pn4s,1011.0,1012.0
ph-application-1508364558011-35782-4g568,1121.0,1123.0
ph-application-1508364558011-35829-5mcrr,1018.0,1020.0
ph-application-1508364558011-35919-8x887,910.0,1001.0
ph-application-1508364558011-35941-8m8bf,939.0,1036.0
ph-application-1508364558011-36010-f5hgf,3.0,9.0
ph-application-1508364558011-36015-k4qvs,6.0,12.0
ph-application-1508364558011-36024-nvsdh,9.0,15.0
ph-application-1508364558011-36030-27krr,23.0,29.0
ph-application-1508364558011-36037-xjcnz,10.0,16.0
ph-application-1508364558011-36120-nh6nr,14.0,20.0
ph-application-1508364558011-36165-48phm,1091.0,1092.0
ph-application-1508364558011-36171-8tjnn,977.0,978.0
ph-application-1508364558011-36198-2vvwf,1082.0,1083.0
ph-application-1508364558011-36207-927f9,1074.0,1076.0
ph-application-1508364558011-36249-bhbpm,594.0,660.0
ph-application-1508364558011-36299-z9bgl,12.0,18.0
ph-application-1508364558011-36324-lddpd,10.0,16.0
ph-application-1508364558011-36330-8cwjp,1578.0,1599.0
ph-application-1508364558011-36343-k42v5,1629.0,1650.0
ph-application-1508364558011-36387-hj9x2,102.0,108.0
ph-application-1508364558011-36394-bpxrr,1598.0,1620.0
ph-application-1508364558011-36430-bl2pf,5.0,31.0
ph-application-1508364558011-36434-rqsc2,3.0,14.0
ph-application-1508364558011-36482-zgnbf,1.0,52.0
ph-application-1508364558011-36527-7scht,4.0,10.0
ph-application-1508364558011-36645-qdshx,1482.0,1488.0
ph-application-1508364558011-36741-dmbgj,5.0,12.0
ph-application-1508364558011-36798-k4sdd,8.0,15.0
ph-application-1508364558011-36822-8pjvs,1.0,8.0
ph-application-1508364558011-36870-ztmrk,9.0,46.0
ph-application-1508364558011-36886-f6swx,2.0,8.0
ph-application-1508364558011-36888-jxd8j,1406.0,1412.0
ph-application-1508364558011-36895-wnztr,138.0,139.0
ph-application-1508364558011-36914-9b5d9,609.0,610.0
ph-application-1508364558011-36927-qs2nd,5.0,11.0
ph-application-1508364558011-37016-f92cp,1115.0,1352.0
ph-application-1508364558011-37065-gckwm,78.0,89.0
ph-application-1508364558011-37086-r5jtg,4.0,10.0
ph-application-1508364558011-37159-7rmkh,90.0,106.0
ph-application-1508364558011-37200-t64d8,576.0,577.0
ph-application-1508364558011-37211-hmzdr,252.0,283.0
ph-application-1508364558011-37230-7knwr,1.0,27.0
ph-application-1508364558011-37291-7g9tc,71.0,92.0
ph-application-1508364558011-37302-fshbt,2.0,13.0
ph-application-1508364558011-37345-qsngn,31.0,42.0
ph-application-1508364558011-37411-6lgnd,19.0,30.0
ph-application-1508364558011-37418-jh6zm,12.0,18.0
ph-application-1508364558011-37432-skkzp,77.0,98.0
ph-application-1508364558011-37433-vvbw8,75.0,96.0
ph-application-1508364558011-37453-sfsj8,6.0,17.0
ph-application-1508364558011-37464-6tnzb,24.0,41.0
ph-application-1508364558011-37467-td7k4,27.0,49.0
ph-application-1508364558011-37474-cwml8,108.0,135.0
ph-application-1508364558011-37543-l7zt4,39.0,60.0
ph-application-1508364558011-37544-wlv64,1.0,12.0
ph-application-1508364558011-37583-t6sct,4.0,15.0
ph-application-1508364558011-37589-psjqt,2.0,13.0
ph-application-1508364558011-37590-psg55,93.0,120.0
ph-application-1508364558011-37602-9r97n,164.0,195.0
ph-application-1508364558011-37610-27zkm,17.0,38.0
ph-application-1508364558011-37628-km7hv,4.0,16.0
ph-application-1508364558011-37682-ng9j6,23.0,44.0
ph-application-1508364558011-37708-z5mtd,47.0,68.0
ph-application-1508364558011-37783-flb6v,2376.0,2613.0
ph-application-1508364558011-37844-h8vbz,1.0,8.0
ph-application-1508364558011-37896-tbf6f,1434.0,1450.0
ph-application-1508364558011-38015-9jt62,3.0,9.0
ph-application-1508364558011-38058-6mqnx,546.0,567.0
ph-application-1508364558011-38114-ggxjz,980.0,981.0
ph-application-1508364558011-38122-rn2d6,829.0,831.0
ph-application-1508364558011-38154-5p8hg,950.0,951.0
ph-application-1508364558011-38194-krx4s,958.0,960.0
ph-application-1508364558011-38217-586kb,913.0,914.0
ph-application-1508364558011-38218-v7pnv,863.0,865.0
ph-application-1508364558011-38229-4c4mw,893.0,895.0
ph-application-1508364558011-38308-b7fgx,822.0,824.0
ph-application-1508364558011-38336-dlzxg,863.0,864.0
ph-application-1508364558011-38375-q8zbw,808.0,809.0
ph-application-1508364558011-38489-s989x,4.0,10.0
ph-application-1508364558011-38532-d7zkk,958.0,960.0
ph-application-1508364558011-38549-7ggpw,770.0,771.0
ph-application-1508364558011-38562-dj5fn,901.0,902.0
ph-application-1508364558011-38635-jdmlc,803.0,805.0
ph-application-1508364558011-38657-vwrxr,822.0,823.0
ph-application-1508364558011-38685-68f2z,916.0,917.0
ph-application-1508364558011-38725-9l79d,797.0,799.0
ph-application-1508364558011-38760-lfnd2,800.0,802.0
ph-application-1508364558011-38844-grvjd,7.0,18.0
ph-application-1508364558011-38862-kt498,10.0,22.0
ph-application-1508364558011-38916-cgnng,19.0,30.0
ph-application-1508364558011-38922-v7nhp,7.0,18.0
ph-application-1508364558011-38930-6pj25,4.0,16.0
ph-application-1508364558011-38932-774f7,2.0,14.0
ph-application-1508364558011-38956-sgsv7,11.0,22.0
ph-application-1508364558011-38966-mnkw2,9.0,20.0
ph-application-1508364558011-39104-rb82t,90.0,121.0
ph-application-1508364558011-39179-dsvbn,5.0,11.0
ph-application-1508364558011-39252-6jt9w,13.0,40.0
ph-application-1508364558011-39402-62zzv,141.0,173.0
ph-application-1508364558011-39404-fcd88,9.0,36.0
ph-application-1508364558011-39417-wb9kp,12.0,39.0
ph-application-1508364558011-39427-8qp7x,5.0,22.0
ph-application-1508364558011-39456-cjgv7,76.0,107.0
ph-application-1508364558011-39649-pszz5,1.0,23.0
ph-application-1508364558011-39717-rj92g,145.0,181.0
ph-application-1508364558011-39743-5dn5v,2.0,29.0
ph-application-1508364558011-39799-7pr5g,26.0,38.0
ph-application-1508364558011-39870-2787n,24.0,36.0
ph-application-1508364558011-39877-d97rv,26.0,38.0
ph-application-1508364558011-39887-pn6x5,9.0,15.0
ph-application-1508364558011-39893-g6nx8,17.0,24.0
ph-application-1508364558011-39913-kk9sd,15.0,27.0
ph-application-1508364558011-39926-pqtck,18.0,30.0
ph-application-1508364558011-40050-5pjbg,32.0,54.0
ph-application-1508364558011-40063-99fjs,4.0,10.0
ph-application-1508364558011-40066-bdjt8,18.0,34.0
ph-application-1508364558011-40067-xqm2c,21.0,37.0
ph-application-1508364558011-40075-trkkl,19.0,40.0
ph-application-1508364558011-40087-8zs6l,48.0,79.0
ph-application-1508364558011-40089-blknz,4.0,16.0
ph-application-1508364558011-40138-mzqm9,18.0,40.0
ph-application-1508364558011-40184-25dx5,1.0,12.0
ph-application-1508364558011-40205-2jvsp,71.0,73.0
ph-application-1508364558011-40239-nkc87,630.0,716.0
ph-application-1508364558011-40270-vcxgj,5.0,11.0
ph-application-1508364558011-40300-fqnmw,118.0,164.0
ph-application-1508364558011-40394-6x68j,100.0,141.0
ph-application-1508364558011-40603-pvx98,4.0,10.0
ph-application-1508364558011-40647-6nbbt,2.0,9.0
ph-application-1508364558011-40649-j7md8,5.0,11.0
ph-application-1508364558011-40660-nt4bz,14.0,35.0
ph-application-1508364558011-40680-mbcfb,6.0,13.0
ph-application-1508364558011-40693-rrx6k,5.0,26.0
ph-application-1508364558011-40811-tpjf6,913.0,1144.0
ph-application-1508364558011-40920-v2vl2,0.0,7.0
ph-application-1508364558011-41037-qdvpv,4.0,15.0
ph-application-1508364558011-41144-px5vx,833.0,834.0
ph-application-1508364558011-41252-8f7ml,772.0,773.0
ph-application-1508364558011-41265-bb88p,716.0,717.0
ph-application-1508364558011-41356-2sl9j,848.0,849.0
