namespace,pod,phase,start,finish
ns-16904374776309414,instance-1339-0,Running,2023-12-15 15:15:00+09:00,2023-12-16 10:00:00+09:00
ns-16904374776309414,instance-1463-0,Running,2023-11-08 21:15:00+09:00,2023-11-09 09:15:00+09:00
ns-16904374776309414,instance-1463-0,Running,2023-11-09 09:45:00+09:00,2023-11-10 09:45:00+09:00
ns-16904374776309414,instance-1463-0,Running,2023-11-10 10:00:00+09:00,2023-11-11 10:00:00+09:00
ns-16904374776309414,instance-1463-0,Running,2023-11-13 08:15:00+09:00,2023-11-16 08:15:00+09:00
ns-16904374776309414,instance-1463-0,Running,2023-11-16 08:45:00+09:00,2023-11-17 08:45:00+09:00
ns-16904374776309414,instance-1463-0,Running,2023-11-17 13:30:00+09:00,2023-11-18 13:30:00+09:00
ns-16904374776309414,instance-1463-0,Running,2023-11-22 14:15:00+09:00,2023-11-23 08:30:00+09:00
ns-16904374776309414,instance-1463-0,Running,2023-11-23 08:45:00+09:00,2023-11-24 08:15:00+09:00
ns-16904374776309414,instance-1463-0,Pending,2023-11-24 08:30:00+09:00,2023-11-24 10:15:00+09:00
ns-16904374776309414,instance-1463-0,Running,2023-11-24 10:15:00+09:00,2023-11-25 08:30:00+09:00
ns-16904374776309414,instance-1463-0,Running,2023-11-27 08:15:00+09:00,2023-11-28 08:15:00+09:00
ns-16904374776309414,instance-1463-0,Running,2023-11-28 08:45:00+09:00,2023-11-30 08:30:00+09:00
ns-16904374776309414,instance-1463-0,Pending,2023-11-30 08:30:00+09:00,2023-11-30 08:45:00+09:00
ns-16904374776309414,instance-1463-0,Running,2023-11-30 08:45:00+09:00,2023-12-02 08:15:00+09:00
ns-16904374776309414,instance-1463-0,Running,2023-12-04 08:15:00+09:00,2023-12-05 08:15:00+09:00
ns-16904374776309414,instance-1463-0,Running,2023-12-05 08:30:00+09:00,2023-12-07 08:15:00+09:00
ns-16904374776309414,instance-1463-0,Pending,2023-12-07 08:30:00+09:00,2023-12-07 08:45:00+09:00
ns-16904374776309414,instance-1463-0,Running,2023-12-07 08:45:00+09:00,2023-12-08 07:30:00+09:00
ns-16904374776309414,instance-1463-0,Pending,2023-12-08 07:30:00+09:00,2023-12-08 08:45:00+09:00
ns-16904374776309414,instance-1463-0,Running,2023-12-08 08:45:00+09:00,2023-12-09 07:30:00+09:00
ns-16904374776309414,instance-1463-0,Running,2023-12-11 08:15:00+09:00,2023-12-12 08:15:00+09:00
ns-16904374776309414,instance-1463-0,Running,2023-12-13 08:15:00+09:00,2023-12-14 08:15:00+09:00
ns-16904374776309414,instance-1463-0,Running,2023-12-14 08:30:00+09:00,2023-12-15 08:30:00+09:00
ns-16904374776309414,instance-1463-0,Running,2023-12-15 09:45:00+09:00,2023-12-16 09:45:00+09:00
ns-16904374776309414,instance-1463-0,Running,2023-12-18 08:15:00+09:00,2023-12-19 08:15:00+09:00
ns-16904374776309414,instance-1463-0,Running,2023-12-19 08:30:00+09:00,2023-12-20 08:30:00+09:00
ns-16904374776309414,instance-1463-0,Running,2023-12-20 08:45:00+09:00,2023-12-21 08:45:00+09:00
ns-16904374776309414,instance-1463-0,Running,2023-12-21 09:00:00+09:00,2023-12-22 09:00:00+09:00
ns-16904374776309414,instance-1463-0,Running,2023-12-22 09:45:00+09:00,2023-12-23 09:45:00+09:00
ns-16904374776309414,instance-1463-0,Running,2024-01-03 08:30:00+09:00,2024-01-04 08:45:00+09:00
ns-16904374776309414,instance-1463-0,Running,2024-01-04 11:30:00+09:00,2024-01-05 11:45:00+09:00
ns-16904374776309414,instance-1463-0,Running,2024-01-08 08:30:00+09:00,2024-01-09 08:30:00+09:00
ns-16904374776309414,instance-1463-0,Running,2024-01-11 09:00:00+09:00,2024-01-12 09:00:00+09:00
ns-16904374776309414,instance-1463-0,Running,2024-01-12 09:15:00+09:00,2024-01-13 09:15:00+09:00
ns-16904374776309414,instance-1463-0,Pending,2024-01-15 14:00:00+09:00,2024-01-15 18:45:00+09:00
ns-16904374776309414,instance-1463-0,Running,2024-01-15 18:45:00+09:00,2024-01-16 14:00:00+09:00
ns-16904374776309414,instance-1463-0,Running,2024-01-16 14:15:00+09:00,2024-01-18 14:15:00+09:00
ns-16904374776309414,instance-1463-0,Running,2024-01-18 14:45:00+09:00,2024-01-19 14:45:00+09:00
ns-16904374776309414,instance-1463-0,Running,2024-01-19 15:00:00+09:00,2024-01-20 15:00:00+09:00
ns-16904374776309414,instance-1463-0,Running,2024-01-22 08:30:00+09:00,2024-01-24 08:45:00+09:00
ns-16904374776309414,instance-1463-0,Running,2024-01-24 10:30:00+09:00,2024-01-25 10:30:00+09:00
ns-16904374776309414,instance-1463-0,Pending,2024-01-26 10:00:00+09:00,2024-01-26 10:15:00+09:00
ns-16904374776309414,instance-1463-0,Running,2024-01-26 10:15:00+09:00,2024-01-27 10:15:00+09:00
ns-16904374776309414,instance-1463-0,Running,2024-01-29 08:15:00+09:00,2024-01-30 08:15:00+09:00
ns-16904374776309414,instance-1463-0,Running,2024-01-30 09:30:00+09:00,2024-02-01 08:15:00+09:00
ns-16904374776309414,instance-1463-0,Pending,2024-02-01 08:15:00+09:00,2024-02-01 08:30:00+09:00
ns-16904374776309414,instance-1463-0,Running,2024-02-01 08:30:00+09:00,2024-02-02 08:15:00+09:00
ns-16904374776309414,instance-1463-0,Running,2024-02-02 10:30:00+09:00,2024-02-03 10:30:00+09:00
ns-16904374776309414,instance-1463-0,Running,2024-02-04 00:00:00+09:00,2024-02-05 00:00:00+09:00
ns-16904374776309414,instance-1463-0,Running,2024-02-05 08:15:00+09:00,2024-02-06 08:15:00+09:00
ns-16904374776309414,instance-1463-0,Running,2024-02-06 08:30:00+09:00,2024-02-07 08:30:00+09:00
ns-16904374776309414,instance-1463-0,Running,2024-02-07 09:45:00+09:00,2024-02-08 00:00:00+09:00
ns-16904374776309414,instance-1547-0,Running,2023-11-08 21:15:00+09:00,2023-11-10 09:15:00+09:00
ns-16904374776309414,instance-1547-0,Running,2023-11-10 11:45:00+09:00,2023-11-11 11:45:00+09:00
ns-16904374776309414,instance-1547-0,Running,2023-11-12 22:30:00+09:00,2023-11-13 22:30:00+09:00
ns-16904374776309414,instance-1547-0,Running,2023-11-15 09:45:00+09:00,2023-11-16 09:45:00+09:00
ns-16904374776309414,instance-1547-0,Running,2023-11-20 09:00:00+09:00,2023-11-21 09:00:00+09:00
ns-16904374776309414,instance-1547-0,Running,2023-11-21 14:30:00+09:00,2023-11-23 14:15:00+09:00
ns-16904374776309414,instance-1547-0,Pending,2023-11-23 15:45:00+09:00,2023-11-23 16:00:00+09:00
