pod,queue_sec,jct_sec
ph-application-1506638472019-28352-w5kpw,119.0,131.0
ph-application-1506638472019-28770-w8jt5,118.0,130.0
ph-application-1506638472019-28791-dnpqj,118.0,130.0
ph-application-1506638472019-2903-4hs26,3.0,16.0
ph-application-1506638472019-2905-rfcfx,3.0,15.0
ph-application-1506638472019-2921-6dkmc,3.0,15.0
ph-application-1506638472019-29344-f6rjg,119.0,120.0
ph-application-1506638472019-2939-qjcx5,3.0,16.0
ph-application-1506638472019-29405-9vdg9,122.0,123.0
ph-application-1506638472019-29468-c54xk,101.0,113.0
ph-application-1506638472019-2971-nc26n,18.0,31.0
ph-application-1506638472019-2986-6ln25,17.0,30.0
ph-application-1506638472019-29936-dswnw,90.0,102.0
ph-application-1506638472019-29974-9vfn4,93.0,104.0
ph-application-1506638472019-29987-dwsfd,583.0,594.0
ph-application-1506638472019-3026-lhqs9,17.0,30.0
ph-application-1506638472019-30423-5bm4h,88.0,99.0
ph-application-1506638472019-3057-nlh5j,17.0,30.0
ph-application-1506638472019-30633-m4cnh,92.0,104.0
ph-application-1506638472019-30639-9z287,98.0,109.0
ph-application-1506638472019-30687-ddvjh,103.0,114.0
ph-application-1506638472019-30757-kgv5p,103.0,114.0
ph-application-1506638472019-30904-x2m8r,108.0,120.0
ph-application-1506638472019-30919-w2zsr,108.0,120.0
ph-application-1506638472019-3102-gpjln,17.0,30.0
ph-application-1506638472019-31022-dwhnv,107.0,119.0
ph-application-1506638472019-31025-tmcz4,108.0,119.0
ph-application-1506638472019-31048-tqnsj,106.0,117.0
ph-application-1506638472019-31067-6t9tg,110.0,122.0
ph-application-1506638472019-31191-q924k,115.0,126.0
ph-application-1506638472019-31567-xrnrr,107.0,118.0
ph-application-1506638472019-31810-rvbnv,104.0,115.0
ph-application-1506638472019-31822-4m2dr,103.0,104.0
ph-application-1506638472019-3211-f655d,17.0,20.0
ph-application-1506638472019-32235-cjw4q,85.0,97.0
ph-application-1506638472019-32295-x67sx,84.0,96.0
